# timestamp,mag_x,mag_y,mag_z
1531207361652,-31.3125,6.375,14.8125
1531207361662,-31.4375,5.875,14.5
1531207361672,-31.5625,6.0625,14.0625
1531207361682,-32.0,6.375,13.625
1531207361692,-31.5625,5.75,13.625
1531207361703,-31.5625,5.75,13.1875
1531207361712,-31.3125,6.0625,13.75
1531207361722,-31.0625,6.375,13.9375
1531207361732,-30.875,6.3125,14.375
1531207361742,-30.875,6.625,14.5
1531207361752,-31.0625,6.8125,14.5
1531207361762,-30.875,6.8125,14.375
1531207361772,-31.1875,7.125,14.1875
1531207361782,-31.0625,7.0625,13.9375
1531207361792,-31.0625,7.0625,13.75
1531207361802,-30.75,7.0625,13.4375
1531207361812,-31.0625,7.0625,13.4375
1531207361822,-31.0625,6.5,13.75
1531207361832,-31.1875,6.375,13.9375
1531207361842,-31.625,6.375,13.75
1531207361852,-32.0,6.0625,14.1875
1531207361862,-32.0,5.9375,14.375
1531207361872,-31.875,5.625,14.1875
1531207361882,-31.5625,5.625,14.1875
1531207361892,-31.5625,5.75,14.5
1531207361902,-31.4375,5.875,14.6875
1531207361912,-31.3125,5.75,14.5
1531207361922,-31.1875,6.375,14.375
1531207361932,-31.75,6.375,14.1875
1531207361942,-31.1875,6.5,14.375
1531207361952,-31.0625,6.8125,13.9375
1531207361962,-31.3125,7.25,14.1875
1531207361972,-31.625,6.9375,14.5
1531207361982,-31.3125,7.25,14.8125
1531207361992,-31.75,7.125,14.6875
1531207362002,-32.1875,6.8125,14.8125
1531207362013,-31.875,6.8125,14.5
1531207362022,-32.0,6.6875,14.1875
1531207362032,-32.0,6.375,14.1875
1531207362042,-32.0,5.9375,14.0625
1531207362052,-31.5625,5.75,14.1875
1531207362062,-31.875,5.3125,14.1875
1531207362072,-31.5625,5.625,14.1875
1531207362082,-31.3125,5.75,14.1875
1531207362092,-31.0625,6.5,14.0625
1531207362102,-31.4375,6.5,13.9375
1531207362113,-31.4375,6.8125,14.0625
1531207362122,-31.625,6.6875,14.0625
1531207362132,-31.875,6.1875,14.1875
1531207362142,-32.3125,5.625,14.1875
1531207362152,-31.75,5.9375,14.1875
1531207362162,-31.4375,5.625,14.0625
1531207362172,-31.5625,5.4375,14.1875
1531207362182,-31.4375,5.75,13.9375
1531207362192,-31.3125,5.875,14.375
1531207362202,-31.3125,5.75,14.1875
1531207362212,-31.1875,5.75,14.375
1531207362222,-30.875,6.0625,14.5
1531207362233,-31.0,5.875,14.8125
1531207362242,-31.1875,5.875,14.5
1531207362252,-31.1875,5.875,14.8125
1531207362262,-31.3125,6.0625,14.375
1531207362272,-31.4375,5.625,14.5
1531207362282,-31.3125,5.4375,14.1875
1531207362292,-31.3125,5.4375,14.375
1531207362302,-31.5625,5.1875,14.5
1531207362312,-31.25,4.875,14.6875
1531207362322,-31.0,5.3125,14.6875
1531207362332,-31.3125,5.75,14.8125
1531207362342,-30.875,5.875,14.8125
1531207362352,-31.0,5.75,14.1875
1531207362362,-31.1875,5.75,14.1875
1531207362372,-31.4375,5.1875,13.75
1531207362382,-31.3125,5.0,13.625
1531207362392,-31.0,4.6875,13.9375
1531207362402,-31.0,5.0,14.25
1531207362412,-31.125,5.3125,14.1875
1531207362422,-30.875,5.4375,14.6875
1531207362432,-30.75,5.3125,14.8125
1531207362442,-31.125,5.4375,14.5
1531207362452,-30.875,5.4375,14.5
1531207362462,-30.875,5.0,14.5
